_id,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,_fp,latitude,longitude,has_free_parking,free_daytime,free_halfday,free_time_ranges,has_short_term_parking,is_very_visitor_friendly,has_height_restriction,has_big_vehicle_restrictions
80,A57,BLK 720/723 ANG MO KIO AVENUE 8,29518.5871,39336.4776,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,ad0f50ff264e4aadf36cadcdaa11d45ec1f21c436c08d2ee5c7894215942e278,1.3720196104757487,103.84696416467047,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
81,A58,BLK 721/722 ANG MO KIO AVENUE 8,29603.16,39372.68,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,5e0635cfce39d5fd352a3529461a2d65326396124fc385ed138949331aef9bb1,1.3723470075573319,103.84772411430865,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
82,A59,BLK 547/551 ANG MO KIO STREET 54,30762.295,39543.9937,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,3.8,0,e4fcf11ccea763ad45c6e3a91c011369089cd547f0df24b813f4062e27aec93a,1.3738962214127315,103.85813978410101,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
83,A60,BLK 540/546 ANG MO KIO STREET 54,30514.5273,39606.8281,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,d03d9e1c15047684bd7297ae6c0ee45301f497ff77f7efffc6eb55687ec14064,1.3744644954379837,103.85591341875042,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
84,A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,30096.82,39574.31,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,434a53971b9473e1dbd747579c57f542dd67b00f2b16cb6b8059385c1c63f4f6,1.3741704461236193,103.8521600154717,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
85,A63,BLK 501/513/508 ANG MO KIO STREET 52/53,29789.5613,39690.0448,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,5.4,0,3d4d616f47dae7d6457e0b914a95418ebfbd166bdd225cfda4e80b3fea1faf05,1.3752171305295215,103.84939908200639,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
86,A64,BLK 584/586 ANG MO KIO STREET 51,30241.6957,39172.3075,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,5.4,0,5a5eb57e5c3282ca942f265c5aadb685bcb61f13a10a6bbf9ce05c21d3a2f040,1.370534868701229,103.85346179745191,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
87,A65,BLK 558/560 ANG MO KIO STREET 54,30904.46,39226.97,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,4.5,0,e6911d2553cc710220510e2ff3ee43f4d318548f63cae84a3d9e5325df606f76,1.371029158960116,103.85941720762452,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
88,A66,BLK 601/604/603 ANG MO KIO AVENUE 5,28260.64,40279.16,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,5.4,0,b66ed02c0b6127f119c2ef72427f620066a67869b5bec69387451c51f79b215c,1.3805449309084117,103.83566062297803,1,1,0,"[""7AM-10.30PM""]",1,1,1,0
89,A67,BLK 605/612 ANG MO KIO AVENUE 4/5,28499.27,40184.22,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,1,0,0.0,0,56df8d38d7a84fefcebb4be42f531c37ae3b963a55e144dca9c1603217900aab,1.3796863244461355,103.8378048893886,1,1,0,"[""7AM-10.30PM""]",1,1,0,0
